"","biz_id","price_range","credit_cards2","take_outs","smoke","noise","reservation","waiter","romantic","intimate","touristy","hipster","divey","classy","trendy","upscale","casual"
"149","ZXlO9S1MG2I-L5uLSF-nPA","2",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"150","-x_jL2OCWPdObGTOwIpN4w","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","7KCLeDNdFDkdoA6MUavxwQ","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
"154","Zk584MLn3STVm1ZXpABSmA","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"155","y6uO4ydAwBHUujfiSktxZg","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"156","uaL1-3F-L-BbgQalu8GVSw","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","LibQv6uJiktJh7U3beNA2g","2",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"158","iZdynPTpKwbX5O3uLeC9Gg","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"162","UPbkeVTJR6C-1I7sCuUrmw","1",1,1,0,4,0,1,0,0,0,0,0,0,0,0,0
"167","yMUVflS-2SnOGafXmdHy6w","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"169","5kW3gHsqag1WD6Z1_HD54Q","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","wqLEZpKy3qfE372OPAB4Pg","0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","LzreyGNkVTYw4JFuSxWstA","1",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"176","2e1jzfiHFGCRpV66gYNVbA","3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","L9UYbtAUOcfTgZFimehlXw","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"179","WEUgyNNslbwhqYgku8Gt3Q","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"181","JyqLejwP2CJ4KqdG9fOxDg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","ealuKGLqWQ8VsOU12hq4sA","2",1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"184","Sodko0hlMg7F5doNJGKcWQ","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
"185","mBM3e0DHU9T2r_mfojSciQ","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","bKRpIJvOxh65a-koMa1V7w","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","4dAvlk4JufJKX3bYB6YLCQ","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","HghAgkxoEpUNZNQbAY485A","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","UtUXhKh7vOVvWJF48IzJvQ","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"200","N8xl5Wroth6Z-JZlJHQwPw","2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","4THtcoUYIAW0qBLH7ABG7Q","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","W_KPYn5tKfAOY6Blz26acw","0",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"206","WHd8fLeMeWKUK6sPyeB-UA","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"210","SkiQh32UtfsRBj_l7cGwOQ","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","-E6XYf1ce1NCtV3QQI-3xA","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"213","Q5sAi0_PmyUMEA0QZRzWdQ","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","mkvWFODsaXHe5MXAyDnRWw","0",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"218","QujOdEd9_24YsQbVcwwszQ","1",1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"219","EFxaUHb6UwOpsvIIdZk-Ng","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"220","HHFjjljqoH5qs7Cy1i9R4A","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"223","pz-jypT4fEPQKr9RZtVdAw","2",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"225","aACW1qAdOfgcU8yX61dOFw","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
"226","URWorZgi-9E1ubknpZkndg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"228","rPp509oz4oFEdncoo7v_HA","2",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"229","od49_DFUJY9louGx80My-A","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,0
"230","7XfT2w9Eb2Xbu-iP4xulPQ","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"231","HTpBzBg3OLU-lQUqRIqoiw","0",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"232","kP_NxoI4DyQ1y60i5xsTCQ","3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237","xbZo8aMOOobPRzHKqmA88g","1",1,1,0,2,1,0,0,0,0,0,0,0,0,0,1
"239","vujjKuD4Vls4xKLe5MJ63Q","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"241","SGGZ6l345YTww09IHxtoew","2",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"243","lSlfbGPYtQ8bARSEiN9cYw","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"249","joxWCp6dgN-kTE9GMziwjA","1",1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
"251","E6HzAdx2vyZVyuNoa4-Xaw","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"253","-Nd5eId2iqnFvAMNgRBgpA","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"254","icv5iqXr_tSGcqSxomXbVA","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"258","qAORECtABjr_FsvSzy1apw","2",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"259","_EdSQOkATuCtZ5y5A2m0rw","1",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"263","AmzGu4DeUy69_XLbcQqQug","3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"266","3OXuxWtGMkBoikTOjKHxBg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270","M0UqoJlAUzKx6dW2CT8d8w","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"272","R2FuwuSjmyvzNWNfqzKUvw","2",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"274","l3vLiDNAvtAHIc2AqZXvdA","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"276","CVBYF1AMlrZbScRXX8d6XQ","2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"277","7lp13T_FUmX1XjU2wen_qw","3",1,1,0,2,1,1,1,1,0,0,0,0,0,0,0
"278","GlaQICDLKSdTyKMZt9sN1Q","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"283","tLoLmV70dEYBC6m7ViIueA","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"284","ufx4U76IsSbA06tfnHP5XQ","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"287","ADJIoHN3uLx-JalYl3r3Dw","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"290","8XmJg-Uy9FtOqlDOaSJsZw","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"291","x737irkRUs8ABGRc2ILLAA","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,0
"292","d2AeNB4xw67E1Bzpo1Pm7Q","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"294","WEYEUvkonsZ8nOKZNXd87A","1",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"296","8aPTQeDYOMNEu907WfflCQ","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"300","hfl62LX14YqNpG0g0Tj6_Q","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"302","CK6Vf3ii1Hj-4AlgbS6NJQ","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"306","dRSs6fSLY_DQTWOeo09Thw","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,0
"307","OTq55xUFMOz13DAi9D0_rw","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"308","YD0oiqWZyAi-lMw3TQ2TqA","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"315","er1Ng8wxlwaWnzFAKttukQ","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"316","tyETqrYijm3cY4noCwl9Ww","2",1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
"318","pvMeUi5Lw2O5vIXg9_EvDg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"322","YaB2hKgWUaqAWnCA6YWD7g","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"330","diW9KhKuhBCblBdnAkUkpQ","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331","suivIX2e8mQKGvbMvbcm2Q","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"332","ti-XLAu4mdfucsyqFRQ69Q","2",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"335","JXQBl4aCf5-dQhcg_5LwCg","2",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"337","W1yep4yDSoLbDFIL4Avz5w","2",1,1,0,2,1,1,0,1,0,0,0,0,0,0,0
"339","DScAYRPPKaqt1NBkCbibHg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"340","-73hx2hut_2KPcGpCTO5YA","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344","QQ0VZ1ggQO1aVf_GK6kn5g","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"346","VZj6-23HOUwbVNePEsJrYg","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"347","6BXkb7kOhzk9cV7s09CkEQ","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"351","89mz_kPNAwPSerTUttx2ig","0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"353","UI8iKvzhGn2qZCGIqtQqrQ","1",1,1,0,2,0,1,0,0,0,0,1,0,0,0,0
"354","UqXNc416VPZrY09eMQY_eA","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"358","bE_0Ma3nEBd9sjcZKlRLKQ","0",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"359","0NlTmTzKYXbE6Hx2iGEb5A","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"361","bxgS6_HLquEvdCIyQxLefA","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"362","YuyaVwQINN_TItOGYqLtdQ","3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"364","IceZ4BtTz76eppjNWm-c6A","1",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"366","qW-jqCAqFF-GdbjV-jh4Hw","3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"367","lLDbPCBjeFV0O0ZlTwiGCw","3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"370","F1g9vXMNnCAAXz5yayTYEA","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"371","67gi179fNUkU5sApNTcrMg","1",1,1,0,3,0,1,0,0,0,0,0,0,0,0,0
"373","K4Oo7A5Kp5eSgBV7MgOu8Q","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"375","c2_iUhnFqctffbBCSVMEbQ","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,0
"376","oxMOHPMVMZ5lMPT022MZ-A","1",1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
"378","I20sRbcEK8Ib1YFQFMoERg","1",0,1,0,2,0,0,0,0,0,0,1,0,0,0,0
"379","GGlF64qQpWvx50ss17ZpXQ","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"384","N9iPqBRI47bewLAeKBlkIg","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"397","vGI3QO3wDBuQ2fPXVJmL9A","1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"399","Yi2_WbqDjeUrZn7WhdFA8w","3",1,1,2,2,1,1,0,0,0,0,0,0,0,0,0
"401","SMpL3z4FLF07bRA6-y22JQ","2",1,1,0,2,1,1,1,1,0,0,0,1,1,0,1
"403","3uGE4jy0FQJ4miKr4PycjA","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"405","NqA43LG4PCPEDQT672zMNA","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"411","gWtfYPKHM46MmoI2aIEtMQ","2",1,1,0,4,0,1,0,0,0,0,0,0,0,0,0
"416","C5TGxBqOae4uKCtpHGFMEw","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"417","6HzJOvPwMLLuGI4kYf4iZQ","2",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"423","fJfh5j2f9AhivqGelAThsg","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"424","9B_rnGpDieUnMr7szjuaQg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"425","os_r5fCkmjeP980CLv20MQ","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"428","Gm7JThEyUPMCLgTnSiGS-A","1",1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"433","_FXql6eVhbM923RdCi94SA","2",1,1,0,2,1,1,0,0,0,0,0,0,1,0,1
"435","xEwujSrjqGK_dWJ28YSQiQ","0",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"437","i0d1RvC0RcjT53S-2GZsgw","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"441","8efc4wqa0XDt3_z2R7jaGA","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"445","ScvhAJe5lIJ7_SIvNTDfgg","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
"449","1PcG-b2oT_qNy_3XjazD2w","2",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"453","J2osMAKvq8w0NIZoGkorxw","1",1,1,0,3,0,0,0,0,0,0,0,0,0,0,1
"457","6GnJUbiq73xm24F7SixI9g","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"459","sUf7fRBqsjLddnj_FW4mag","1",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"460","sAwxt4I4gTiL-08nyarJbg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"462","4_xxWpQKhBWhAOvfVPmFXQ","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"465","q0AKQzEXQgAanw-WNZJ3xg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"467","BRhKD4BEMg6NagsD3z-0YA","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"470","KwoHV8oqC_aFHoZpbOM9XA","2",1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"480","uNzmm8lpdwOggqQ3Vu7vMA","1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"482","ZD8xAsXsj8FRunJOP4fSrQ","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"483","0hY0qoXHcI3czshcrZPpYg","0",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"492","-aDuOZelvBHWKh-NrXooow","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"499","HPQ9AnscJUPT_wvHOc5Itw","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"500","Mog8cxUbSs5DJ-4nGczi_Q","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,0
"506","_p8bPLv2RKSadu_9M83OVA","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"508","7-vGQpfj0RcOD-Cy7CXDiA","1",1,1,0,2,1,0,0,0,0,0,0,0,0,0,1
"509","zwToyWL4dT1clsFPK9wI2w","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"511","Hi1eTIyZ9QA3RATHrVVl7g","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"512","LBskB7ACUPV8xxjBPKnxmA","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"516","-lOSaCuBRAvX5JBifx-EMw","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"517","6P76zWJBtahmJa0yqd9j4A","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"519","leg0kbfxBVksdt7qf5gXPg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"522","4bhJ2kl1WVnNQeH3xJgz6A","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"527","rHaIakUF5MpRNMw752NajQ","2",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"528","Zx8_4zKdDBSO3qGrkukBIA","1",1,1,0,2,0,0,0,0,0,0,1,0,0,0,1
"529","J-ZZcapKrlAlq0h0zAnWKw","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"530","2CcO6bTk9Fs3sAwodab3-w","1",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"538","bbmuF6LtbP51bk0Ia0p1rw","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"540","kBF7JSs3VGdjjcf46vk4nw","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"545","CkQKNhlm8DOzxbXm_zb3bg","2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"546","T_FMm8BNUIfUOhE-ScV15w","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"548","Kv3rSUtmAzDA2ADAkKUVYg","2",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"550","l9Xqi_FUukoExs7nBa422w","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"552","8r4SKAKp_ugLrmhrxDBBtg","2",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"555","rIonUa02zMz_ki8eF-Adug","2",1,1,0,3,0,0,0,0,0,0,0,0,0,0,1
"557","Ax11wyp-FudujeU9nejQbw","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"563","4eFIVmbeCvJGCrhzmd-VYA","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"567","fhmKIPGVx9_O4P9zEgCHjQ","2",1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"569","hVDo35_OySCeFWYLFKM7WQ","2",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"570","SAIgLz6EI7vJ9AkxjvpIeg","0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"574","BOYgi3o9pWJWKvZzzZO-jg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"575","iqVDfE7XknJ6kDIoepT_xQ","1",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"578","85fKIrxqQBUtq4OMvrXTNQ","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"580","WYf4exS-QvyaqUyn9_-5Bg","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"581","oOehX_l0odQc-tu81VUkIg","1",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"582","9Vu9KhK2-kBSM-FXvxXGNg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"583","GaeokhqmZYuPr7i1EZtnHA","2",1,1,3,2,1,1,0,0,1,0,0,0,0,0,0
"584","cE99Cjrj2YXSGs4MECb86w","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"585","oc0Wl6ktfMLb5VZ2Uz6M2A","2",1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
"591","vfLog2bLJGl6hAFtGtr0GQ","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"592","4V3_98M4SexonrOpE4Xm0A","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"598","6bjKi4wtIJWD24bFtPV4Ow","2",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"607","aGaoRZay5PRieFvTK6VkmQ","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"609","1vl4-5il_LGtDRxUCy9ldw","2",1,1,0,2,0,0,0,0,0,1,0,0,0,0,1
"610","k6Si433-EJrY4J7SZxsnjA","2",1,1,0,2,1,1,1,0,0,0,0,0,0,0,1
"613","auorqdHiATGZHVd-sd79ZQ","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"616","9ucO4e2ZQeeXANqMZT67GQ","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"617","WOcf7AiIRL_wkYAnEF-vcw","1",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"619","KTF-E3NfkJy2wiwcgOPyVQ","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"624","7dnH0aZnfc2HxSbJkBcdZw","0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"626","9Ep4sguv3HH_8lWyzSogjw","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"630","xM5F0cLAlKWoB8rOgt5ZOw","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"633","JMOK_Sy6aSOZwd4qgkX7hg","2",1,1,0,2,0,1,0,0,0,0,0,0,0,0,1
"636","oe45XbxddG4EKhpWAHIk2w","2",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"637","jxYDR1eYedsbaiGNwVvnzA","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"638","13lNc7KSuVHBrUybTR23qw","2",1,1,0,2,1,1,0,0,0,0,0,1,0,0,1
"640","d4-PiJfqs-_ChKyWuoa0_Q","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"641","BNOFxq6AAXamgLw_tzbe7Q","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"642","WjOz_BVfAkunjIA2yTthyg","1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"643","1eJiyKXx_ruNu6F36BJQCg","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"644","daybz5OrNiTuCrLv_ukYzg","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645","DQlVVaGbMxf3Ed6rp8A3kA","1",1,1,0,2,0,1,0,0,0,0,1,0,0,0,0
"646","51qNc8sg9kCD5GEJ3TUrrw","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"648","AeoJkr_dlNshB078OepP8w","2",1,1,0,2,1,1,0,0,0,0,0,0,0,0,1
"650","yCQ2KC8OETCyQDCRw7mXrg","1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"651","T11YSYqwlRDC48V8-W1GRw","2",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
