"","price_range","credit_cards2","take_outs","smoke","noise","reservation","waiter","romantic","intimate","touristy","hipster","divey","classy","trendy","upscale","casual","desert","latenight","lunch","dinner","brunch","breakfast","wifi","delivery","tv","outdoor_seating","good_for_kids","good_for_groups","dogs","wheelchair","stars","UMM","UMMR","dogs"
"97",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.013047451793356,0.0652372589667799,1
"99",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4.5,0.0199404910745788,0.0877225085473025,1
"101",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,1,1,0,0,4.5,0.172383414751167,0.80896145711132,1
"102",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,4,0.140255493118874,0.540566529394346,1
"103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0495049359350765,0.183237367175726,1
"105",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0604959785373105,0.239575797190315,1
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.00895846450483682,0.0377770496978358,1
"107",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0.113790573631422,0.479283241091299,1
"110",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.111074719250761,0.555373596253807,1
"111",2,1,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,0,4,0.187953818362323,0.771153332258615,1
"114",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,1,0,1,4,0.0879099329849242,0.356850729634327,1
"115",1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,4.5,0.167956701316636,0.735539234839285,1
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0202640770373019,0.0872817680700613,1
"117",2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,1,1,0,1,4,0.180702443481299,0.637735089020413,1
"121",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0.105288963191344,0.475419805235904,1
"126",2,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,4,0.0965718732795139,0.424239251004026,1
"130",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,1,4,0.118878353423125,0.495821699805437,1
"131",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,1,1,1,0,1,4,0.189410661980131,0.790882408401017,1
"132",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,0.197477242553306,0.94617270297192,1
"134",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0569680831678176,0.284840415839088,1
"138",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0.00542856980845215,0.0193873661831412,1
"139",1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,1,1,1,0,1,4.5,0.130285846162463,0.555992170667731,1
"144",2,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,4,0.130263573097269,0.547867251378297,1
"145",2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,4.5,0.0799409634273248,0.339048024660568,1
"149",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4.5,0.0560615430338522,0.218968458368312,1
"153",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4.5,0.0117561421420509,0.0582175840494216,1
"154",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4.5,0.116798919775711,0.57749449252412,1
"155",1,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,1,1,0,1,0,1,5,0.0477194228233175,0.238597114116588,1
"156",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,4,0.105074980773199,0.304871663218785,1
"161",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,1,0,0,4,0.115625552146353,0.428996652674663,1
"162",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,4,0.105629097659967,0.46913244166188,1
"163",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.110221530088055,0.417001930555844,1
"164",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0967108609472554,0.396941323878681,1
"167",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0586172539009197,0.234469015603679,1
"168",3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,4,0.0716548373555962,0.298741172801339,1
"175",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.5,0.336836759969781,1.30918379984892,1
"176",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,1,0,1,4,0.18353717423492,0.789745677720836,1
"177",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,1,4,0.114713947472728,0.399680369124074,1
"179",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,1,1,0,1,4,0.0907185772443645,0.405103852427288,1
"181",2,1,1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,4,0.302731242313248,1.33446747794606,1
"182",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0684877941889453,0.26652532635873,1
"184",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0.0633311736786566,0.28791730368121,1
"189",1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0740857158938048,0.302078193784936,1
"193",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,4,0.265560476092264,1.0057115032582,1
"194",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0.112912618442652,0.487701862512385,1
"195",2,1,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,4,0.135511663826185,0.524821239821189,1
"197",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,4,0.14252223053606,0.582987122743569,1
"199",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,4,0.114623140633925,0.539666196671924,1
"200",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.205800459504752,1.00608629147201,1
"204",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0.14941842118713,0.639931628237313,1
"208",1,1,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,4,0.212446202769756,0.882599260723183,1
"210",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,1,1,1,0,1,4,0.182933673441416,0.748628353954857,1
"211",1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0.15105515530397,0.553304313840662,1
"212",2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0.0326071697207537,0.130428678883015,1
"217",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1,1,4.5,0.132069492941465,0.641483626934395,1
"218",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0.14929021433466,0.608946164955999,1
"224",2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,4.5,0.169698426202666,0.728767623489988,1
"225",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.5,0.026599765409274,0.13299882704637,1
"226",2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,4,0.113512570518044,0.51716045677436,1
"227",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0.015026374882017,0.0681157475900806,1
"231",2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0.0736799996486515,0.247267937699328,1
"236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0.0815004733834254,0.311819939150676,1
"238",2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,4,0.0699109621939073,0.291501296689608,1
"240",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,1,1,0,1,4,0.197736225602017,0.844432402776145,1
"241",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.10035409256497,0.425839801429522,1
"244",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.120474354453965,0.597972114213109,1
"245",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,0,1,4,0.20832529732553,0.804519410244059,1
"248",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00424558730363738,0.0178675171061576,1
"250",2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,4.5,0.140000811026268,0.638539591062571,1
"254",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.047794173570895,0.199174847997209,1
"255",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,4,0.0980295560831816,0.344916823681467,1
"257",2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,4,0.117641313176795,0.428286832347234,1
"258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.160877298107892,0.793688574036005,1
"260",0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,4.5,0.0872158299572318,0.428571449328436,1
"261",2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,1,4,0.0855349847288792,0.356164637794433,1
"263",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0200270439449984,0.0768930571998903,1
"269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.11850504100085,0.408515259582093,1
"274",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,4.5,0.148672031782644,0.726931456322939,1
"275",2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,4.5,0.283449034378487,1.25102292917648,1
"277",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,4,0.115629578094547,0.444028493476011,1
"278",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0.312743718688849,1.51569279911096,1
"279",2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,4,0.158752116898941,0.603823865617437,1
"282",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0479044987721158,0.239522493860579,1
"283",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0823283102018755,0.292952562900641,1
"284",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0.0508785886592105,0.203514354636842,1
"291",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,4,0.0368175601045168,0.0726381183273451,1
"292",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0165847730832709,0.0710360418427703,1
"296",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4.5,0.144527965083648,0.638313589052293,1
"297",2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,1,1,0,1,4,0.17238943257239,0.735661575894275,1
"298",1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,4,0.168138785732856,0.72238191886386,1
"300",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.224824044189219,0.727925263093042,1
"301",2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4.5,0.150523708900725,0.644950544038408,1
"302",2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4.5,0.142498151709357,0.517358179422225,1
"305",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,0.167006560383693,0.784422860359168,1
"307",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,1,0,1,4,0.104223092545024,0.443078802732373,1
"315",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,1,1,0,1,4,0.152549911610362,0.574440666613882,1
"316",2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,1,4,0.210569713231395,1.01130545761166,1
"320",2,1,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,1,0,1,0,0,4,0.0907365773470238,0.382916645595013,1
"322",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,4,0.102110726801167,0.404372853256201,1
"324",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,4.5,0.247319771412096,1.11560203619083,1
"326",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.191201271181781,0.789339689242225,1
"327",1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,4.5,0.172566326317346,0.723176162367112,1
"329",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,1,1,0,1,4,0.115717213809324,0.484875759612728,1
"330",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.257518744330054,1.28759372165027,1
"331",2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,4,0.161536467267885,0.632446953225971,1
"332",1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,4,0.146693332814395,0.615426671083669,1
"335",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4.5,0.0342218211301499,0.157939987162169,1
"338",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,5,0.202494974209342,1.01247487104671,1
"349",1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,4.5,0.0770940449595999,0.253100164071838,1
"353",1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,4,0.141070543785054,0.609725827571522,1
"354",2,1,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,1,0,1,4,0.101682650830589,0.389673756763302,1
"356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.494201532921346,0.494201532921346,1
"363",2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,1,0,1,4.5,0.1345332127391,0.635395364830227,1
"364",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.198175368207122,0.989583802968655,1
"365",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.5,0.00758755160674883,0.032100579484785,1
"366",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.124649844476452,0.493256012508125,1
"368",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,1,1,1,0,1,4,0.119438923349727,0.493989029294864,1
"370",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0.0826473536623932,0.353767391298696,1
"371",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.5,0.0581708124265445,0.287372504548702,1
"372",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0.157923046187831,0.628428674331604,1
"375",2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,1,1,1,0,1,4.5,0.218550717414428,0.936577913549413,1
"376",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0.0548350158446862,0.266480553308447,1
"377",4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4.5,0.135569838861643,0.620048509810782,1
